rental_rate,film_id,length,rental_duration,title,rating,replacement_cost
7.7,862,81,7.7,Toy Story,21.946943,21.95
6.9,8844,104,6.9,Jumanji,17.015539,17.02
6.5,15602,101,6.5,Grumpier Old Men,11.7129,11.71
6.1,31357,127,6.1,Waiting to Exhale,3.859495,3.86
5.7,11862,106,5.7,Father of the Bride Part II,8.387519,8.39
7.7,949,170,7.7,Heat,17.924927,17.92
6.2,11860,127,6.2,Sabrina,6.677277,6.68
5.4,45325,97,5.4,Tom and Huck,2.561161,2.56
5.5,9091,106,5.5,Sudden Death,5.23158,5.23
6.6,710,130,6.6,GoldenEye,14.686036,14.69
6.5,9087,106,6.5,The American President,6.318445,6.32
5.7,12110,88,5.7,Dracula: Dead and Loving It,5.430331,5.43
7.1,21032,78,7.1,Balto,12.140733,12.14
7.1,10858,192,7.1,Nixon,5.092,5.09
5.7,1408,119,5.7,Cutthroat Island,7.284477,7.28
7.8,524,178,7.8,Casino,10.137389,10.14
7.2,4584,136,7.2,Sense and Sensibility,10.673167,10.67
6.5,5,98,6.5,Four Rooms,9.026586,9.03
6.1,9273,90,6.1,Ace Ventura: When Nature Calls,8.205448,8.21
5.4,11517,103,5.4,Money Train,7.337906,7.34
6.4,8012,105,6.4,Get Shorty,12.669608,12.67
6.5,1710,124,6.5,Copycat,10.701801,10.7
6,9691,132,6,Assassins,11.065939,11.07
6.3,12665,111,6.3,Powder,12.133094,12.13
7.1,451,112,7.1,Leaving Las Vegas,10.332025,10.33
7,16420,123,7,Othello,1.845899,1.85
6.6,9263,100,6.6,Now and Then,8.681325,8.68
7.4,17015,104,7.4,Persuasion,2.228434,2.23
7.6,902,108,7.6,The City of Lost Children,9.822423,9.82
6.5,37557,108,6.5,Shanghai Triad,1.100915,1.1
6.4,9909,99,6.4,Dangerous Minds,9.481338,9.48
7.4,63,129,7.4,Twelve Monkeys,12.297305,12.3
6.8,78802,50,6.8,Wings of Courage,0.745542,0.75
6,9598,89,6,Babe,14.404764,14.4
6.4,47018,121,6.4,Carrington,1.493361,1.49
7.3,687,122,7.3,Dead Man Walking,6.891317,6.89
3.5,139405,51,3.5,Across the Sea of Time,0.114469,0.11
6.1,33689,101,6.1,It Takes Two,7.777735,7.78
6.9,9603,97,6.9,Clueless,9.882383,9.88
6.7,34615,106,6.7,"Cry, the Beloved Country",0.894647,0.89
6.9,31174,104,6.9,Richard III,4.561387,4.56
6.6,11443,119,6.6,Dead Presidents,9.87957,9.88
6.3,35196,117,6.3,Restoration,10.979269,10.98
5.4,9312,101,5.4,Mortal Kombat,10.870138,10.87
6.7,577,106,6.7,To Die For,10.448481,10.45
6.5,11861,116,6.5,How To Make An American Quilt,4.485958,4.49
8.1,807,127,8.1,Se7en,18.45743,18.46
6.7,10530,81,6.7,Pocahontas,13.280069,13.28
5.9,8391,96,5.9,When Night Is Falling,3.302524,3.3
8.1,629,106,8.1,The Usual Suspects,16.302466,16.3
6.3,117164,93,6.3,Guardian Angel,0.595949,0.6
6.7,11448,95,6.7,Mighty Aphrodite,15.899134,15.9
7.7,49133,116,7.7,Lamerica,1.361286,1.36
5.2,26441,100,5.2,The Big Green,5.982764,5.98
6.1,97406,115,6.1,Georgia,4.093443,4.09
3,124057,89,3,Kids of the Round Table,0.307075,0.31
6.3,9089,103,6.3,Home for the Holidays,8.416802,8.42
7.6,11010,108,7.6,The Postman,10.168437,10.17
6.5,99040,100,6.5,The Confessional,0.120789,0.12
5.9,11359,96,5.9,The Indian in the Cupboard,10.673296,10.67
5.8,17182,101,5.8,Eye for an Eye,4.733526,4.73
6.9,2054,137,6.9,Mr. Holland's Opus,7.137117,7.14
6.2,10607,89,6.2,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,11.7
4.5,19760,96,4.5,Two If by Sea,2.174487,2.17
4.4,9536,88,4.4,Bio-Dome,6.387469,6.39
2.8,11525,92,2.8,Lawnmower Man 2: Beyond Cyberspace,2.49535,2.5
5.4,40628,85,5.4,Two Bits,4.046208,4.05
6,4482,95,6,French Twist,2.518051,2.52
7,10634,91,7,Friday,14.56965,14.57
6.9,755,108,6.9,From Dusk Till Dawn,15.339153,15.34
4.1,11859,91,4.1,Fair Game,5.912223,5.91
7,28387,96,7,Kicking and Screaming,3.367276,3.37
6.6,48750,175,6.6,Les Miserables,1.479446,1.48
5.1,20927,87,5.1,Bed of Roses,10.412194,10.41
3.9,36929,90,3.9,Big Bully,2.936443,2.94
6.1,9102,108,6.1,Screamers,12.758848,12.76
7.3,124626,70,7.3,Nico Icon,0.133893,0.13
6.1,27526,111,6.1,The Crossing Guard,5.756462,5.76
5.5,9623,118,5.5,The Juror,6.010579,6.01
7.5,46785,85,7.5,The White Balloon,1.196256,1.2
6.7,400,116,6.7,Things to Do in Denver When You're Dead,4.486179,4.49
7.2,880,102,7.2,Antonia's Line,2.030174,2.03
4.5,146599,115,4.5,Once Upon a Time... When We Were Colored,0.252287,0.25
0,188588,108,0,Last Summer in the Hamptons,0.531159,0.53
6.3,8447,118,6.3,Angels and Insects,2.15166,2.15
6.3,10534,129,6.3,White Squall,9.568604,9.57
5.1,17414,88,5.1,Dunston Checks In,4.814825,4.81
6,13997,87,6,Black Sheep,8.963037,8.96
6.1,2086,90,6.1,Nick of Time,6.848591,6.85
6.7,61548,91,6.7,The Journey of August King,0.411424,0.41
5.7,9095,104,5.7,Mary Reilly,12.866139,12.87
4.5,12158,100,4.5,Vampire in Brooklyn,9.071127,9.07
6.6,9283,112,6.6,Beautiful Girls,4.670562,4.67
5.7,9208,108,5.7,Broken Arrow,14.957626,14.96
7.5,40154,99,7.5,A Midwinter's Tale,0.513391,0.51
7.9,406,98,7.9,La Haine,12.108196,12.11
5.6,45549,105,5.6,Shopping,2.657647,2.66
6.8,63076,106,6.8,Heidi Fleiss: Hollywood Madam,0.638211,0.64
6,11062,111,6,City Hall,4.807223,4.81
6.8,13685,91,6.8,Bottle Rocket,6.904831,6.9
3.3,47475,96,3.3,Mr. Wrong,3.329264,3.33
5.3,2045,106,5.3,Unforgettable,2.464425,2.46
6.5,9614,92,6.5,Happy Gilmore,9.592265,9.59
7.3,688,135,7.3,The Bridges of Madison County,5.951077,5.95
5.1,11907,104,5.1,Nobody Loves Me,1.015068,1.02
6.5,10874,100,6.5,Muppet Treasure Island,6.902423,6.9
7,89333,95,7,Catwalk,0.976707,0.98
0,96357,110,0,Headless Body in Topless Bar,0.001346,0
7.7,197,177,7.7,Braveheart,20.755149,20.76
8.1,103,114,8.1,Taxi Driver,14.092713,14.09
6.5,33542,91,6.5,Rumble in the Bronx,12.314278,12.31
5.8,43566,108,5.8,Before and After,2.938293,2.94
7.5,71754,114,7.5,Margaret's Museum,0.372697,0.37
7,43612,106,7,Happiness Is in the Field,1.254885,1.25
7.3,51352,117,7.3,Anne Frank Remembered,0.243986,0.24
6.9,16934,99,6.9,The Young Poisoner's Handbook,6.178497,6.18
5.4,10324,92,5.4,If Lucy Fell,2.891918,2.89
5.1,78406,113,5.1,Steal Big Steal Little,1.522412,1.52
5.2,55731,100,5.2,Race the Sun,1.317878,1.32
7,32119,90,7,The Boys of St. Vincent,0.86539,0.87
5.4,11066,117,5.4,Boomerang,6.506983,6.51
7.9,11104,102,7.9,Chungking Express,6.778979,6.78
6.8,37975,113,6.8,The Star Maker,1.702639,1.7
6.3,2074,92,6.3,Flirting with Disaster,5.579088,5.58
4.4,27793,95,4.4,The Neverending Story III: Escape from Fantasia,6.252377,6.25
4.3,44284,116,4.3,The Silences of the Palace,0.406754,0.41
0,290157,87,0,Jupiter's Wife,0.001178,0
7,110972,95,7,Pie in the Sky,0.699066,0.7
5.6,32622,99,5.6,Angela,2.197439,2.2
5.4,73067,101,5.4,Frankie Starlight,0.637554,0.64
5.1,11863,95,5.1,Jade,11.418917,11.42
5.5,55475,102,5.5,Nueba Yol,0.291021,0.29
0,124636,87,0,Sonic Outlaws,0.001838,0
5.6,9101,92,5.6,Down Periscope,5.184977,5.18
6.5,123360,97,6.5,From the Journals of Jean Seberg,0.276401,0.28
3.8,5757,86,3.8,Man of the Year,0.540436,0.54
7.2,39428,91,7.2,The Neon Bible,0.370342,0.37
0,124639,122,0,Target,0.001205,0
5.9,9302,119,5.9,Up Close & Personal,3.402749,3.4
6.7,11000,117,6.7,The Birdcage,6.49968,6.5
7,249882,125,7,Virgin Mary,0.918504,0.92
6.3,16388,98,6.3,The Brothers McMullen,2.039196,2.04
6.5,9737,118,6.5,Bad Boys,9.262184,9.26
5,30765,81,5,The Amazing Panda Adventure,2.375865,2.38
7.2,10474,102,7.2,The Basketball Diaries,7.415144,7.42
6,22279,113,6,An Awfully Big Adventure,0.922958,0.92
6.5,30157,105,6.5,Amateur,1.759012,1.76
7.3,568,140,7.3,Apollo 13,18.761467,18.76
6.5,11780,139,6.5,Rob Roy,10.193549,10.19
6.4,34996,82,6.4,The Addiction,3.137285,3.14
5.2,414,121,5.2,Batman Forever,13.321354,13.32
7.3,649,101,7.3,Belle de Jour,10.142662,10.14
6.4,1873,100,6.4,Beyond Rangoon,2.04189,2.04
6.8,5894,83,6.8,Blue in the Face,11.528147,11.53
5.9,1775,91,5.9,Canadian Bacon,5.391556,5.39
6,8839,100,6,Casper,12.812539,12.81
6.8,20649,128,6.8,Clockers,4.558992,4.56
5,10329,109,5,Congo,7.260574,7.26
7,8963,116,7,Crimson Tide,8.657365,8.66
7.6,26564,119,7.6,Crumb,3.620388,3.62
6.8,8068,104,6.8,Desperado,6.950458,6.95
6.3,8512,102,6.3,Devil in a Blue Dress,4.646132,4.65
6.9,1572,128,6.9,Die Hard: With a Vengeance,15.138855,15.14
5.6,13552,80,5.6,The Doom Generation,7.120806,7.12
0,259209,116,0,Feast of July,0.523575,0.52
5.9,6520,134,5.9,First Knight,15.178338,15.18
5.5,9073,95,5.5,Free Willy 2 - The Adventure Home,7.575098,7.58
6.2,10428,107,6.2,Hackers,14.810519,14.81
6.5,17447,92,6.5,Jeffrey,3.196456,3.2
5.5,9886,97,5.5,Johnny Mnemonic,11.715868,11.72
5.4,9482,96,5.4,Judge Dredd,8.184815,8.18
4,19326,88,4,Jury Duty,3.676921,3.68
6.8,9344,91,6.8,Kids,4.877872,4.88
7.2,9071,89,7.2,Living in Oblivion,10.058329,10.06
5.9,8973,119,5.9,Lord of Illusions,4.102409,4.1
7,15730,100,7,Love & Human Remains,0.354014,0.35
5.5,47608,95,5.5,Mad Love,2.624771,2.62
6.8,2293,94,6.8,Mallrats,8.25547,8.26
5.2,9070,92,5.2,Mighty Morphin Power Rangers: The Movie,7.024227,7.02
5.6,68274,100,5.6,Moonlight and Valentino,1.01115,1.01
6.4,48787,95,6.4,Mute Witness,2.466066,2.47
5.9,34574,93,5.9,Nadja,7.720056,7.72
5.6,1642,114,5.6,The Net,13.304342,13.3
5.5,11472,103,5.5,Nine Months,8.482834,8.48
5.8,36196,94,5.8,Party Girl,1.165039,1.17
6.4,11980,98,6.4,The Prophecy,10.187623,10.19
10,58372,91,10,Reckless,0.119713,0.12
7.2,32646,119,7.2,Safe,8.180047,8.18
5.5,10533,135,5.5,The Scarlet Letter,6.752119,6.75
